"","id","dob","year","date","cmj_height","cmj_rsi","ct","epv","rel_pp","con_imp","age_at_test","group","height","sit_height","time_point","mass","rel_peak","peak_v_f","mean_rsi_fc_time","mean_rsi_ms"
"34","ETC17",2013-03-28,"25_26",2025-04-15,16.5,0.3,544,-1.13,32.3,76.3,12.05,"u12s",148.9,78,"April 2025",43.1,29.31,1263,1.87,0.76
"35","ETC17",2013-03-28,"25_26",2024-08-28,14.8,0.23,669,-0.88,29.4,70.7,11.42,"u12s",146.5,77.3,"August 2024",41.9,29.11,1220,1.78,0.71
"36","ETC17",2013-03-28,"25_26",2024-02-16,16.3,0.31,536,-0.91,33.5,66.5,10.89,"u12s",143,75,"Feb 2024",36.7,26.45,971,1.95,0.86
"37","ETC18",2013-05-16,"25_26",2024-08-28,17.7,0.29,683,-0.8,33.6,101,11.28,"u12s",160.4,83.4,"August 2024",46.3,34.67,1605,1.73,0.66
"38","ETC18",2013-05-16,"25_26",2024-04-04,17.7,0.29,620,-1.02,33.2,97.4,10.89,"u12s",159.5,84.2,"April 2024",51.8,34.44,1784,1.65,0.72
"39","ETC19",2011-11-18,"25_26",2026-01-05,24,0.4,606,-1.04,44.6,136.7,14.13,"u14s",171.8,93.4,"Jan 2026",63.2,38.9,2459,2.75,1.47
"40","ETC19",2011-11-18,"25_26",2025-04-16,24.4,0.41,595,-0.99,44.6,136.4,13.41,"u13s",171.1,91.6,"April 2025",63.1,28.95,1827,2.53,1.43
"41","ETC19",2011-11-18,"25_26",2024-08-28,22.2,0.36,639,-0.64,41.8,121.7,12.78,"u13s",169.1,91.2,"August 2024",60.1,28.3,1701,2.22,1.14
"42","ETC19",2011-11-18,"25_26",2024-04-05,20.4,0.42,492,-0.83,45,105.9,12.38,"u13s",168,90.1,"April 2024",53,28.1,1490,2.36,1.27
"43","ETC19",2011-11-18,"25_26",2024-02-16,22,0.45,489,-0.86,44.7,111.5,12.25,"u13s",167,90,"Feb 2024",53.9,25.93,1398,2.33,1.25
"44","ETC25",2013-02-10,"25_26",2025-04-15,20.3,0.47,441,-0.88,45.5,71.4,12.18,"u12s",149,79,"April 2025",34.3,36.07,1237,2.36,1.14
"45","ETC26",2014-01-23,"25_26",2026-01-05,10.8,0.18,593,-0.68,28,86.6,11.95,"u12s",157.7,82.5,"Jan 2026",59.1,27.2,1608,1.68,0.64
"46","ETC26",2014-01-23,"25_26",2025-04-15,13.9,0.21,676,-0.83,28.5,83.8,11.22,"u12s",152,NA,"April 2025",53,22.33,1184,1.48,0.52
"47","ETC26",2014-01-23,"25_26",2024-08-28,15.3,0.24,715,-0.75,29.9,80.8,10.6,"u12s",147.1,78.5,"August 2024",46.8,22.65,1060,1.55,0.57
"48","ETC27",2013-12-28,"25_26",2026-01-05,26.1,0.49,529,-1.21,47.8,114.9,12.02,"u12s",165.3,84.3,"Jan 2026",50.7,28.23,1431,1.95,0.99
"49","ETC27",2013-12-28,"25_26",2025-04-15,27.6,0.43,641,-1.13,48.7,106.4,11.3,"u12s",161.9,82,"April 2025",46.5,30.47,1417,2.21,1.08
"50","ETC27",2013-12-28,"25_26",2024-08-28,23.5,0.28,864,-0.83,40.3,86.6,10.67,"u12s",156.3,77.9,"August 2024",32.4,35.59,1153,1.91,0.92
"51","ETC28",2014-02-25,"25_26",2026-01-05,16.6,0.24,691,-0.98,31.3,71.7,11.86,"u12s",145.8,77.4,"Jan 2026",40.1,34.25,1373,2.49,1.13
"52","ETC28",2014-02-25,"25_26",2025-04-15,17.3,0.29,589,-0.9,33.2,64.9,11.13,"u12s",140.2,74,"April 2025",33.8,32.75,1107,2.25,1.07
"53","ETC28",2014-02-25,"25_26",2024-08-28,19.1,0.3,709,-0.93,32.9,63.1,10.51,"u12s",134,70.5,"August 2024",33,29.82,984,2.29,1.1
"54","ETC33",2013-12-17,"25_26",2026-01-05,17.4,0.29,622,-0.97,32.7,82.5,12.05,"u12s",158.4,83.4,"Jan 2026",45,29.84,1343,1.95,0.85
"55","ETC33",2013-12-17,"25_26",2024-08-29,16.5,0.29,623,-0.79,32.2,62.9,10.7,"u12s",147.5,78.6,"August 2024",32.2,23.92,770,1.89,0.85
"56","ETC36",2012-07-11,"25_26",2026-01-05,25.2,0.48,537,-1.15,46.2,111.4,13.49,"u14s",159.3,84.9,"Jan 2026",50.4,36.59,1844,2.26,1.2
"57","ETC36",2012-07-11,"25_26",2025-04-15,22.3,0.57,395,-0.9,49.5,96,12.76,"u12s",155.9,83.5,"April 2025",48.4,30.42,1472,2.64,1.39
"58","ETC36",2012-07-11,"25_26",2024-08-28,24.8,0.51,554,-0.9,45.4,96.3,12.13,"u12s",151.5,80.5,"August 2024",43.5,28.54,1242,2.13,1.16
"59","ETC39",2014-07-08,"25_26",2026-01-05,17.2,0.29,600,-0.96,33.9,87,11.5,"u12s",151.5,80,"Jan 2026",46.9,30.86,1447,1.81,0.73
"60","ETC39",2014-07-08,"25_26",2025-04-15,22,0.37,598,-0.82,38.4,82,10.77,"u12s",146.8,78.5,"April 2025",42.6,22.08,941,1.99,0.96
"61","ETC39",2014-07-08,"25_26",2024-08-28,16.7,0.28,638,-0.85,32.8,66.6,10.14,"u12s",143.5,76.2,"August 2024",30.2,26,785,2.01,0.86
"62","ETC41",2012-02-11,"25_26",2026-01-05,27.7,0.38,735,-1.18,44.2,103.4,13.9,"u14s",160.6,83.4,"Jan 2026",43.7,35.82,1565,2.08,1.08
"63","ETC41",2012-02-11,"25_26",2025-04-15,27.6,0.49,567,-1.12,46.8,91.6,13.17,"u12s",154.3,81.2,"April 2025",37.8,40.83,1543,2.44,1.35
"64","ETC41",2012-02-11,"25_26",2024-08-28,28.8,0.37,859,-0.86,46.7,85,12.54,"u12s",149.7,76.7,"August 2024",36,33.96,1222,2.1,1.08
"65","ETC42",2013-03-16,"25_26",2025-04-15,24.3,0.41,594,-1.18,41.6,99.3,12.08,"u12s",156,NA,"April 2025",45,22.8,1026,2.28,1.08
"66","ETC43",2012-01-04,"25_26",2026-01-05,20.1,0.37,546,-1.07,39.6,94.5,14,"u14s",161.5,86,"Jan 2026",47,33.31,1566,2.01,1.02
"67","ETC43",2012-01-04,"25_26",2025-04-16,23.1,0.47,487,-1.01,44.2,98,13.28,"u13s",160,84.3,"April 2025",48.4,29.31,1419,2.34,1.23
"68","ETC43",2012-01-04,"25_26",2024-08-29,17.6,0.39,454,-0.44,43.2,80.3,12.65,"u13s",155.55,82.2,"August 2024",42.3,29.06,1229,2.09,1.09
"69","ETC47",2011-12-31,"25_26",2025-04-15,22.9,0.38,601,-0.99,39.9,81.8,13.29,"u13s",157,NA,"April 2025",46.6,25.99,1211,2.25,1.14
"70","ETC47",2011-12-31,"25_26",2024-08-29,24.1,0.45,560,-0.52,47.1,94.3,12.66,"u13s",153.1,79.2,"August 2024",42.9,21.65,929,2.09,0.89
"71","ETC49",2011-07-18,"25_26",2025-04-16,20.5,0.4,516,-1.12,37.6,100.5,13.75,"u14s",163.7,87.5,"April 2025",50.7,32.8,1663,2.62,1.37
"72","ETC51",2009-08-11,"25_26",2024-08-28,23.9,0.41,685,-0.82,42.5,119.5,15.05,"u16s",160.5,84.7,"August 2024",56.4,27.13,1530,2.34,1.03
"73","ETC52",2010-06-22,"25_26",2025-04-15,16.9,0.3,564,-1.12,34.8,95.2,14.81,"u16s",170.2,86.9,"April 2025",52.4,36.84,1930,2.29,1.14
"74","ETC57",2010-08-14,"25_26",2024-08-28,24.4,0.36,713,-0.81,41.3,118,14.04,"u16s",160,89.5,"August 2024",60.6,21.7,1315,2.06,0.9
"75","ETC58",2010-04-15,"25_26",2025-04-16,22.4,0.32,715,-1.01,37.8,114.6,15,"u16s",162.7,87.5,"April 2025",55.1,25.77,1420,2.76,1.37
"76","ETC58",2010-04-15,"25_26",2024-08-29,18.8,0.27,772,-0.84,33.8,101.5,14.37,"u16s",161.9,84.9,"August 2024",52.3,24.25,1268,2.92,1.58
"77","ETC59",2013-10-21,"25_26",2026-01-05,19.7,0.37,559,-0.84,38.1,89.2,12.21,"u12s",149.3,77.4,"Jan 2026",46.1,26.77,1234,2.16,1.04
"78","ETC59",2013-10-21,"25_26",2025-04-15,18,0.22,826,-0.98,31.9,78.9,11.48,"u12s",144.5,77.6,"April 2025",42.6,20.99,894,2.04,0.99
"79","ETC60",2013-05-16,"25_26",2025-04-15,21.5,0.35,614,-1.18,39.9,88.4,11.92,"u12s",155.5,NA,"April 2025",43,29.85,1284,2.11,0.98
"80","ETC61",2013-11-05,"25_26",2026-01-05,15.7,0.2,810,-1.27,30.2,91,12.17,"u14s",158.1,84.3,"Jan 2026",51.4,26.17,1345,2.54,1.28
"81","RTC64",2011-02-21,"25_26",2025-04-16,24.1,0.32,760,-0.98,40.7,127.3,14.15,"u14s",167.2,88.5,"April 2025",58.9,31.41,1850,2.36,1.23
"82","RTC64",2011-02-21,"25_26",2024-08-28,22,0.31,832,-0.7,39.4,112.6,13.52,"u14s",165.5,87.1,"August 2024",46.8,31.25,1463,2.32,1.09
"83","RTC64",2011-02-21,"25_26",2024-04-04,19.3,0.24,814,-0.75,37.3,100.7,13.12,"u14s",163.5,84.5,"April 2024",51,26.79,1366,1.97,0.82
"84","RTC66",2011-05-29,"25_26",2025-04-16,21.4,0.29,727,-1.14,39.2,113.5,13.88,"u14s",170.1,90,"April 2025",56.3,29.66,1670,1.93,0.92
"85","RTC66",2011-05-29,"25_26",2024-08-28,20,0.29,754,-1.02,36.5,108.5,13.25,"u14s",164.4,85.4,"August 2024",53.6,29.77,1595,2.12,0.97
"86","RTC66",2011-05-29,"25_26",2024-04-09,20.2,0.28,710,-1.2,36.3,101.9,12.86,"u14s",162,83.5,"April 2024",50.9,27.68,1409,2.32,1.18
"87","RTC67",2010-12-20,"25_26",2025-04-16,20.8,0.31,668,-0.87,39.2,106.9,14.32,"u14s",158.5,86,"April 2025",53.3,30.29,1614,2.08,0.99
"88","RTC67",2010-12-20,"25_26",2024-08-29,19.8,0.26,833,-0.68,36.7,105,13.69,"u14s",157.1,83.1,"August 2024",53.1,23.98,1273,2.05,0.96
"89","RTC67",2010-12-20,"25_26",2024-04-09,17.7,0.24,738,-0.87,34.4,92.3,13.3,"u14s",162.4,82,"April 2024",49.1,28.75,1412,1.94,0.91
"90","RTC67",2010-12-20,"25_26",2024-02-23,18.7,0.22,872,-0.99,34.8,94,13.18,"u14s",156,83,"Feb 2024",48.7,27.29,1329,1.82,0.83
"91","RTC69",2010-03-12,"25_26",2025-04-16,18.5,0.25,746,-1,35.5,103,15.1,"u14s",162.2,88.1,"April 2025",54.5,31.8,1733,2.67,1.27
"92","RTC69",2010-03-12,"25_26",2024-08-29,19.5,0.35,609,-1.03,37.7,104.5,14.47,"u14s",160.4,89,"August 2024",47.8,27.71,1325,2.27,1.1
"93","RTC69",2010-03-12,"25_26",2024-04-04,17.9,0.25,710,-0.88,35.1,95.8,14.06,"u14s",160,86,"April 2024",48.4,27.86,1349,2.02,0.9
"94","RTC69",2010-03-12,"25_26",2024-02-16,15,0.2,754,-0.86,31.1,84,13.93,"u14s",159,83,"Feb 2024",48.2,28.5,1374,2.14,0.99
"95","RTC71",2010-09-27,"25_26",2025-04-16,22.8,0.38,603,-0.78,43.4,103.9,14.55,"u14s",161.2,82,"April 2025",49.9,27.83,1389,2.32,1.06
"96","RTC71",2010-09-27,"25_26",2024-08-28,22.6,0.33,684,-0.78,41.2,94.5,13.92,"u14s",157.65,81.3,"August 2024",43.8,30.74,1346,2.05,0.79
"97","RTC71",2010-09-27,"25_26",2024-04-04,20.3,0.32,635,-0.79,39.4,86.5,13.52,"u14s",155.4,79.7,"April 2024",43.4,27.1,1176,2.49,1.43
"98","RTC73",2010-06-12,"25_26",2025-04-16,22.2,0.32,694,-0.98,39.4,132.1,14.84,"u14s",171,91,"April 2025",63.7,34.47,2196,2.38,1.14
"99","RTC73",2010-06-12,"25_26",2024-04-04,20.7,0.31,665,-0.82,41.3,112.8,13.81,"u14s",167.5,86.4,"April 2024",56.2,26.98,1516,2.06,0.93
"100","RTC73",2010-06-12,"25_26",2024-02-16,22.3,0.36,617,-0.9,40.8,112.2,13.68,"u14s",165,83,"Feb 2024",53.1,26.92,1429,2.13,1
"101","RTC74",2011-08-17,"25_26",2025-04-15,25.5,0.39,659,-1.05,42,141.5,13.66,"u14s",165,NA,"April 2025",63.8,25.42,1622,2.72,1.39
"102","RTC74",2011-08-17,"25_26",2024-08-29,25.4,0.41,678,-1.03,43.2,140.7,13.03,"u14s",164.2,87.9,"August 2024",62.5,21.09,1318,2.68,1.44
"103","RTC74",2011-08-17,"25_26",2024-04-05,20.9,0.33,644,-0.91,39.3,123.3,12.63,"u14s",162.9,86.8,"April 2024",60.9,22.11,1346,2.38,1.18
"104","RTC74",2011-08-17,"25_26",2024-02-23,22.1,0.36,615,-1.04,40.2,124.5,12.52,"u14s",163,86,"Feb 2024",59.6,21.71,1294,2.45,1.11
"105","RTC76",2010-11-18,"25_26",2025-04-16,26.1,0.42,633,-0.83,42,110.3,14.41,"u14s",163.8,87.4,"April 2025",49.4,37.79,1867,3.09,1.57
"106","RTC76",2010-11-18,"25_26",2024-04-04,22.5,0.34,679,-1,40.9,88.9,13.38,"u14s",159.1,85.5,"April 2024",43,33.25,1430,2.64,1.19
"107","RTC76",2010-11-18,"25_26",2024-04-04,22.5,0.34,679,-1,40.9,88.9,13.38,"u14s",159.1,85.5,"April 2024",40.9,36.32,1486,2.64,1.19
"108","RTC76",2010-11-18,"25_26",2024-02-16,22.1,0.33,708,-1.22,37.7,87.8,13.25,"u14s",157,80,"Feb 2024",41.6,27.56,1146,2.84,1.41
"109","RTC77",2010-12-15,"25_26",2024-08-29,26.7,0.41,662,-1,45.6,128.1,13.7,"u14s",160.45,85.05,"August 2024",48.8,28.65,1398,2.69,1.36
"110","RTC77",2010-12-15,"25_26",2024-04-05,25.8,0.4,647,-1.19,43.5,122.6,13.31,"u14s",160.2,85.3,"April 2024",54.1,31.83,1722,2.55,1.33
"111","RTC77",2010-12-15,"25_26",2024-02-23,27.3,0.41,662,-1.24,44.1,119.4,13.19,"u14s",160,83,"Feb 2024",51.3,29.83,1530,2.3,1.15
"112","RTC85",2010-11-23,"25_26",2025-04-16,22.7,0.33,697,-0.77,39.9,113.3,14.39,"u14s",155.7,84,"April 2025",54.3,32.79,1780,2.73,1.34
"113","RTC85",2010-11-23,"25_26",2024-04-04,19.7,0.3,655,-0.63,38.8,97.1,13.36,"u14s",152.6,80.6,"April 2024",47.8,35.07,1676,2.28,1
"114","RTC85",2010-11-23,"25_26",2024-02-16,21.7,0.23,932,-0.49,40.6,98.9,13.23,"u14s",153,81,"Feb 2024",47.3,29.4,1391,2.67,1.34
"115","RTC86",2010-11-15,"25_26",2025-04-15,31.5,0.36,871,-1.09,46.2,142.1,14.41,"u14s",163.8,NA,"April 2025",59.8,32.71,1956,1.9,1.07
"116","RTC86",2010-11-15,"25_26",2024-08-28,27.4,0.34,974,-0.79,43.2,132.4,13.78,"u14s",163,88,"August 2024",57.3,32.31,1851,1.94,0.96
"117","RTC86",2010-11-15,"25_26",2024-04-05,27.8,0.36,780,-0.77,46.5,133.5,13.39,"u14s",162.8,88,"April 2024",57.1,33.58,1918,2,1.04
"118","RTC86",2010-11-15,"25_26",2024-02-23,26.5,0.33,811,-0.77,44.1,128.1,13.27,"u14s",162,86,"Feb 2024",56,32.07,1796,1.6,0.65
"119","RTC88",2009-10-25,"25_26",2025-04-15,27.8,0.35,785,-1.29,41.1,180.3,15.47,"u16s",175.7,91.9,"April 2025",82.2,26.86,2208,2.1,0.94
"120","RTC88",2009-10-25,"25_26",2024-08-28,20.4,0.32,702,-0.92,37.3,140.6,14.84,"u16s",172.6,90.2,"August 2024",70.8,29.11,2061,2.01,0.84
"121","RTC88",2009-10-25,"25_26",2024-04-05,20.6,0.38,542,-0.88,42.4,142.5,14.45,"u16s",170.2,89.7,"April 2024",70.7,26.71,1888,1.73,0.78
"122","RTC88",2009-10-25,"25_26",2024-02-16,22.1,0.32,698,-1.1,38.1,146.7,14.31,"u16s",170,88,"Feb 2024",69.6,21.27,1480,1.83,0.89
"123","RTC90",2009-04-10,"25_26",2025-04-16,24.5,0.36,691,-1.01,41.9,123.5,16.02,"u16s",164.4,86.2,"April 2025",57,26.78,1526,1.63,0.73
"124","RTC90",2009-04-10,"25_26",2024-08-28,28.9,0.5,583,-1.05,47.7,123.3,15.38,"u16s",162.5,84.2,"August 2024",51.9,28.2,1463,2.45,1.34
"125","RTC90",2009-04-10,"25_26",2024-04-04,21.3,0.37,575,-1.04,39.7,105.5,14.98,"u16s",160.6,83.4,"April 2024",50.3,26.35,1325,1.94,0.89
"126","RTC90",2009-04-10,"25_26",2024-02-23,25.1,0.37,682,-0.97,42.5,113.5,14.87,"u16s",161,83,"Feb 2024",50.8,23.75,1207,2.12,0.96
"127","ETC03",2012-08-04,"24_25",2025-04-16,17.8,0.21,843,-1.03,33.5,73.5,12.7,"u13s",150.2,76.4,"April 2025",39.8,22.95,913,2.04,1.01
"128","ETC03",2012-08-04,"24_25",2024-08-28,21.5,0.31,733,-1.06,37.8,72.3,12.07,"u13s",145.9,73.7,"August 2024",26.5,32.99,874,2.35,1.17
"129","ETC03",2012-08-04,"24_25",2024-04-04,19.2,0.28,689,-0.96,35.3,65.2,11.67,"u13s",145,74.4,"April 2024",33.4,28.71,959,2,1.03
"130","ETC06",2012-03-19,"24_25",2024-04-05,18.5,0.36,516,-0.9,37.3,75.3,12.05,"u13s",156.4,84,"April 2024",39.3,39.22,1541,2.87,1.43
"131","ETC06",2012-03-19,"24_25",2024-02-23,21.3,0.33,656,-0.87,38,78.8,11.93,"u13s",154,83,"Feb 2024",38.4,31.41,1206,2.45,1.31
"132","ETC08",2011-09-16,"24_25",2024-08-29,17.9,0.28,698,-0.99,33.8,87.7,12.95,"u13s",157.7,83.3,"August 2024",45,27.78,1250,2.42,1.28
"133","ETC08",2011-09-16,"24_25",2024-02-16,19.6,0.35,578,-1.1,37.8,88.7,12.42,"u13s",157,81,"Feb 2024",44.7,26.73,1195,2.09,0.99
"134","ETC09",2011-10-09,"24_25",2025-04-16,21.6,0.32,687,-0.98,37.3,88.4,13.52,"u13s",162,83.2,"April 2025",43.8,28.61,1253,2.8,1.33
"135","ETC09",2011-10-09,"24_25",2024-08-29,21.1,0.32,724,-0.84,37.9,81.1,12.89,"u13s",155.55,80.45,"August 2024",31.8,31.95,1016,2.83,1.37
"136","ETC09",2011-10-09,"24_25",2024-04-05,18,0.37,496,-0.74,39.6,67.4,12.49,"u13s",152.3,78.6,"April 2024",35.4,23.94,847,2.68,1.23
"137","ETC10",2012-03-10,"24_25",2025-04-16,21.3,0.31,703,-0.89,38.2,102,13.1,"u13s",162.1,81.9,"April 2025",50,24.57,1228,1.81,0.9
"138","ETC10",2012-03-10,"24_25",2024-08-29,20.3,0.39,605,-1.08,37.8,98.1,12.47,"u13s",157.5,79,"August 2024",40.7,27.37,1114,1.98,0.89
"139","ETC12",2012-12-08,"24_25",2024-02-16,13,0.34,388,-0.61,34.4,42.2,11.19,"u12s",122,58,"Feb 2024",26,29.92,778,1.41,0.59
"140","ETC13",2012-05-18,"24_25",2024-02-16,18,0.38,474,-0.76,40,82.8,11.75,"u12s",150,77,"Feb 2024",43.3,26.72,1157,1.78,0.84
"141","ETC14",2013-05-29,"24_25",2025-04-15,18.6,0.36,520,-1.04,37.2,91.4,11.88,"u12s",161.9,NA,"April 2025",48.9,28.62,1399,2.24,1.01
"142","ETC14",2013-05-29,"24_25",2024-08-28,17.5,0.29,628,-0.88,34.5,79.5,11.25,"u12s",156.4,81,"August 2024",35.2,29.07,1023,2.02,0.82
"143","ETC14",2013-05-29,"24_25",2024-04-05,13.8,0.28,496,-0.89,32.5,64.8,10.85,"u12s",153.1,78.8,"April 2024",38.9,24.83,966,1.91,0.8
"144","ETC14",2013-05-29,"24_25",2024-02-16,14.6,0.32,468,-0.88,34.5,64.7,10.72,"u12s",151,76,"Feb 2024",37.8,20.75,784,2.15,0.99
"145","ETC20",2013-05-03,"24_25",2024-04-04,16.8,0.29,586,-0.87,37.6,92,10.92,"u12s",152.6,83.5,"April 2024",50.1,30.25,1516,1.73,0.68
"146","ETC20",2013-05-03,"24_25",2024-02-16,15.4,0.31,504,-0.69,36.7,85.9,10.79,"u12s",150,78,"Feb 2024",48.4,29.25,1416,1.79,0.74
"147","ETC21",2011-10-29,"24_25",2024-04-05,25.2,0.48,526,-0.67,48.5,102,12.43,"u13s",159.5,84.2,"April 2024",46.9,25.77,1209,2.28,1.09
"148","ETC22",2011-11-02,"24_25",2024-04-04,15.9,0.3,532,-0.9,35.7,65.7,12.42,"u13s",159.1,84.7,"April 2024",37.2,31.3,1164,1.97,0.94
"149","ETC22",2011-11-02,"24_25",2024-02-16,17.9,0.29,620,-1.09,34.7,69,12.29,"u13s",156,81,"Feb 2024",36.5,27.64,1009,1.81,0.76
"150","ETC23",2012-05-16,"24_25",2024-02-16,14.6,0.27,545,-0.92,34.6,75.4,11.75,"u13s",150,78,"Feb 2024",44.2,25.5,1127,2.14,1.14
"151","ETC24",2011-09-22,"24_25",2024-08-29,20.2,0.35,637,-0.94,38.4,85.8,12.93,"u13s",154.4,79.15,"August 2024",36.5,27.25,995,2.16,1.07
"152","ETC24",2011-09-22,"24_25",2024-04-05,15.8,0.36,444,-0.6,36.5,68.9,12.54,"u13s",152,79.5,"April 2024",38.9,23.65,920,2.14,1
"153","ETC24",2011-09-22,"24_25",2024-02-16,18.5,0.47,401,-0.16,36,73.1,12.4,"u13s",150,78,"Feb 2024",37.7,24.26,915,2.15,1.08
